COUNTYNAME,COUNTYFIPS,COUNTYGNIS,POP_1990,POP_2000,ACRES,SQ_MILES,CNTY_SEAT
Clark,45,758477,7547,7416,327632.419997,511.92565625,Kahoka
Atchison,5,758457,7457,6430,351990.513001,549.98517656,Rock Port
Scotland,199,758552,4822,4983,280948.966704,438.98276048,Memphis
Schuyler,197,758551,4236,4170,197084.747448,307.94491789,Lancaster
Nodaway,147,758528,21709,21912,561734.05259,877.70945717,Maryville
Putnam,171,758540,5079,5223,332103.314181,518.91142841,Unionville
Worth,227,758566,2440,2382,170725.054101,266.75789703,Grant City
Mercer,129,758519,3723,3757,290899.040545,454.52975085,Princeton
Harrison,81,758495,8469,8850,464591.767708,725.92463704,Bethany
Gentry,75,758492,6848,6861,314723.661713,491.75572143,Albany
Sullivan,211,758558,6326,7219,416681.520326,651.06487551,Milan
Adair,1,765805,24577,24977,364190.046383,569.04694747,Kirksville
Knox,103,758506,4482,4361,324121.046164,506.43913463,Edina
Holt,87,758498,6034,5351,301175.948181,470.58741903,Oregon
Grundy,79,758494,10536,10432,280124.544873,437.69460136,Trenton
Lewis,111,758510,10233,10494,326758.114344,510.55955366,Monticello
Andrew,3,758456,14632,16492,279329.741991,436.45272186,Savannah
Daviess,61,758485,7865,8016,364091.349471,568.89273355,Gallatin
De kalb,63,758486,9967,11597,272330.563356,425.51650524,Maysville
Shelby,205,758555,6942,6799,321195.261283,501.86759575,Shelbyville
Macon,121,758514,15345,15762,519596.070211,811.8688597,Macon
Linn,115,758512,13885,13754,397322.266312,620.81604111,Linneus
Livingston,117,758513,14592,14558,344478.236213,538.24724408,Chillicothe
Marion,127,758517,27682,28289,284331.719607,444.26831189,Palmyra
Buchanan,21,758465,83083,85998,265600.411477,415.00064293,St Joseph
Caldwell,25,758467,8380,8969,274777.912982,429.34048903,Kingston
Clinton,49,758479,16595,18979,270979.359147,423.40524867,Plattsburg
Chariton,41,758475,9202,8438,490533.889636,766.45920256,Keytesville
Randolph,175,758542,24370,24663,311958.865689,487.43572764,Huntsville
Ray,177,758543,21971,23354,367213.939854,573.77178102,Richmond
Platte,165,758537,57867,73781,273240.607319,426.93844894,Platte City
Clay,47,758478,153411,184006,261441.366704,408.50213548,Liberty
Ralls,173,758541,8476,9626,309219.499795,483.15546843,New London
Monroe,137,758523,9104,9311,428556.385958,669.61935306,Paris
Carroll,33,758471,10748,10285,448610.26383,700.95353723,Carrollton
Pike,163,758536,15969,18351,439879.986273,687.31247855,Bowling Green
Audrain,7,758458,23599,25853,445651.750121,696.33085956,Mexico
Saline,195,758550,23523,23756,490452.589356,766.33217087,Marshall
Howard,89,758499,9631,10212,301441.217336,471.00190209,Fayette
Boone,19,758464,112379,135454,441903.703148,690.47453617,Columbia
Lincoln,113,758511,28892,38944,409969.461353,640.57728336,Troy
Lafayette,107,758508,31107,32960,408425.388672,638.1646698,Lexington
Jackson,95,758502,633232,654880,394101.428251,615.78348164,Independence
Johnson,101,758505,42514,48258,533022.838647,832.84818539,Warrensburg
Montgomery,139,758524,11355,12136,345937.382245,540.52715976,Montgomery City
Callaway,27,758468,32809,40766,541959.026534,846.81097896,Fulton
Warren,219,758562,19534,24525,280060.805523,437.59500863,Warrenton
Cooper,53,758481,14835,16670,363902.302105,568.59734704,Boonville
St Charles,183,758546,212907,283883,379787.859411,593.41853033,St Charles
Pettis,159,758534,35437,39403,438898.923867,685.77956854,Sedalia
St Louis,189,758549,993529,1016315,334855.242177,523.2113159,Clayton
Cass,37,758473,63808,82092,449288.664803,702.01353875,Harrisonville
Benton,15,758462,13859,17180,481212.91072,751.895173,Warsaw
Jefferson,99,758504,171380,198099,425193.490112,664.3648283,Hillsboro
Bates,13,758461,15025,16653,544481.742289,850.75272233,Butler
Moniteau,135,758522,12298,14827,267808.918367,418.45143495,California
St Louis City,510,765765,396685,348189,42261.6511588,66.03382994,0
Osage,151,758530,12018,13062,391825.608948,612.22751398,Linn
Gasconade,73,758491,14006,15342,336474.516913,525.74143268,Hermann
Morgan,141,758525,15574,19309,392445.93542,613.19677409,Versailles
Cole,51,758480,63579,71397,255598.633488,399.37286483,Jefferson City
Franklin,71,758490,80603,93807,594793.457644,929.36477757,Union
Henry,83,758496,20044,21997,468358.113573,731.80955246,Clinton
Miller,131,758520,20700,23564,383871.410516,599.79907893,Tuscumbia
Crawford,55,758482,19173,22804,475706.074405,743.29074126,Steelville
Camden,29,758469,27495,37051,452980.336855,707.78177634,Camdenton
Maries,125,758516,7976,8903,339092.050748,529.83132929,Vienna
Pulaski,169,758539,41307,41165,353073.654249,551.67758476,Waynesville
Perry,157,758533,16648,18132,310113.410086,484.55220326,Perryville
Washington,221,758563,20380,23344,488225.87706,762.85293291,Potosi
Cape Girardeau,31,758470,61633,68693,375564.846339,586.82007241,Jackson
St Clair,185,758547,8457,9652,449041.460561,701.62728213,Osceola
Phelps,161,758535,35248,39825,431131.915306,673.64361767,Rolla
Ste Genevieve,186,765806,16037,17842,324758.892179,507.43576903,Ste Genevieve
Hickory,85,758497,7335,8940,263351.2677,411.48635578,Hermitage
Vernon,217,758561,19041,20454,535271.970799,836.36245437,Nevada
St Francois,187,758548,48904,55641,290742.537197,454.28521437,Farmington
Cedar,39,758474,12093,13733,318866.966896,498.22963577,Stockton
Dallas,59,758484,12646,15661,347546.294173,543.04108465,Buffalo
Laclede,105,758507,27158,32513,491026.122559,767.2283165,Lebanon
Polk,167,758538,21826,26992,410806.811523,641.885643,Bolivar
Dent,65,758487,13702,14927,482726.004223,754.2593816,Salem
Iron,93,758501,10726,10697,353422.886779,552.22326059,Ironton
Madison,123,758515,11127,11800,318894.037727,498.27193395,Fredericktown
Barton,11,758460,11312,12541,381741.820546,596.4715946,Lamar
Bollinger,17,758463,10619,12029,397881.991132,621.69061114,Marble Hill
Reynolds,179,758544,6661,6689,521083.045532,814.19225864,Centerville
Wright,229,758567,16758,17955,437028.359969,682.85681245,Hartville
Texas,215,758560,21476,23003,754194.986845,1178.42966695,Houston
Dade,57,758483,7449,7923,323801.523369,505.93988026,Greenfield
Mississippi,133,758521,14442,13427,274913.407463,429.55219916,Charleston
Webster,225,758565,23753,31045,379665.074353,593.22667868,Marshfield
Shannon,203,758554,7613,8324,642240.158572,1003.50024777,Eminence
Greene,77,758493,207949,240391,433483.34502,677.31772659,Springfield
Jasper,97,758503,90465,104686,410152.832395,640.86380062,Carthage
Wayne,223,758564,11543,13259,495570.69454,774.32921022,Greenville
Scott,201,758553,39376,40422,272845.731311,426.32145517,Benton
Lawrence,109,758509,30236,35204,392347.188642,613.04248225,Mount Vernon
Stoddard,207,758556,28895,29705,531263.101476,830.09859606,Bloomfield
Carter,35,758472,5515,5941,325779.365794,509.03025905,Van Buren
Christian,43,758476,32644,54285,360510.742518,563.29803518,Ozark
Douglas,67,758488,11876,13084,521125.416156,814.25846274,Ava
Newton,145,758527,44445,52636,400837.12724,626.30801131,Neosho
Howell,91,758500,31447,37238,593713.560692,927.67743858,West Plains
Stone,209,758557,19078,28658,326498.134668,510.15333542,Galena
Butler,23,758466,38765,40867,447729.775371,699.57777402,Poplar Bluff
Barry,9,758459,27547,34010,505778.259649,790.2785307,Cassville
New Madrid,143,758526,20928,19760,446582.604252,697.78531914,New Madrid
Oregon,149,758529,9470,10344,506394.402546,791.24125398,Alton
Ripley,181,758545,12303,13509,404284.098626,631.6939041,Doniphan
Taney,213,758559,25561,39703,416701.40801,651.09595001,Forsyth
Ozark,153,758531,8598,9542,483030.353872,754.73492793,Gainesville
McDonald,119,758518,16938,21681,345102.871821,539.22323722,Pineville
Dunklin,69,758489,33112,33155,350410.474198,547.51636593,Kennett
Pemiscot,155,758532,21921,20047,326247.923468,509.76238042,Caruthersville
